all_metrics_no_bins
all_metrics,,,,,,,,,,,,,,
,Z0_opt_bins_val,Z0_opt_bins_train,Z0_opt_bins_test,Z0unc_opt_bins_val,Z0unc_opt_bins_train,Z0unc_opt_bins_test,Z0_40bins_val,Z0_40bins_train,Z0_40bins_test,rel_ewww_highest_bin_val,rel_ewww_highest_bin_train,rel_ewww_highest_bin_test,learning_rate,weight_EWWW
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.14_8451674896188745451,9.225226346954970,9.399609297698550,9.131301610370020,6.440789854308920,6.380567255832800,6.178753879614450,9.5628648066036,9.605467373010530,9.592048066010830,0.16822341470950900,0.1670839299463130,0.17216406661410200,3,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_8_0.16_8612423162571123450,8.444721436425780,10.117538514103300,8.365776422073290,5.787513758867030,5.240889937259970,5.787185241660980,8.883298368035260,8.802447270674930,8.907475223321370,0.17583109997548600,0.18613669174467000,0.1708915743782220,8,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_15_0.1_8805398327060435399,8.566224843393960,9.277191326840300,8.551849875166710,6.116685333833090,6.244954052328840,5.959054827864580,8.984558272249960,9.112406004650740,8.989282716970020,0.18008100236732300,0.2001445016621770,0.18466930085826300,15,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.1_4432512065231945340,8.500593520541290,9.05030394561664,8.461056342653320,5.879313264068500,6.101772617577900,5.846597699416930,8.854244428992320,8.961369893072550,9.048960990136850,0.1796508798874050,0.20802120115190800,0.1738605953937940,10,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.14_8491430577365673841,9.56092722406192,11.250172167800300,9.579402251233440,6.568694297397990,6.0182772287181,6.500068784585420,9.937359812095270,9.663827728002130,9.908109642820770,0.18615457878975700,0.20203786893335700,0.20324026239679000,10,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.06_142800554621545107,9.61866784486696,9.967736160377680,9.839144606862350,6.597459220597870,6.680705424752300,6.892244103868660,10.013914361525400,11.512565155142600,10.050910524640200,0.21606022876682100,0.24566251522806700,0.2610209452514180,3,0.06
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.14_4450821180815386139,9.547713527480080,9.94401301730385,9.498591260497540,6.691317752265800,6.922272286440010,6.439958888229940,10.045327311691800,10.657562371204600,9.590569738140820,0.20720892742448400,0.21194811227597200,0.1987108459769100,7,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_8_0.14_8559191728513902553,9.366551463840820,10.176274385492900,9.339773129087180,6.391418037462040,6.471395289360780,6.244720644243050,9.98856341421195,9.946360991890670,9.815157963350190,0.1764482132725210,0.19420753624112700,0.18047979178099900,8,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_20_0.1_2575686306949893432,9.781718950108630,7.242653087823580,9.544903883798060,6.216552436574130,4.513847241149290,6.418503492523550,10.192963680428900,9.234704854716040,9.940158199644090,0.2420190115760340,-0.23096937219355400,0.1999378627025730,20,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.18_4990790801762242305,9.49047560102316,9.94474006976367,9.303877626784430,6.676759505511550,6.967073939208780,6.532961808447940,10.007255545315900,10.04063922717120,9.72634747658054,0.18109023471001400,0.2041476809958130,0.18077563294853700,10,0.18
